,raw-date,visits,date,month,year
374,2011 MAR,4197,2011-03-01,Mar,2011
373,2011 FEB,3750,2011-02-01,Feb,2011
372,2011 JAN,4001,2011-01-01,Jan,2011
371,2010 DEC,3196,2010-12-01,Dec,2010
370,2010 NOV,4030,2010-11-01,Nov,2010
369,2010 OCT,6304,2010-10-01,Oct,2010
368,2010 SEP,6777,2010-09-01,Sep,2010
367,2010 AUG,8793,2010-08-01,Aug,2010
366,2010 JUL,6697,2010-07-01,Jul,2010
365,2010 JUN,6548,2010-06-01,Jun,2010
364,2010 MAY,5406,2010-05-01,May,2010
363,2010 APR,5061,2010-04-01,Apr,2010
362,2010 MAR,4195,2010-03-01,Mar,2010
361,2010 FEB,3729,2010-02-01,Feb,2010
360,2010 JAN,3913,2010-01-01,Jan,2010
359,2009 DEC,3646,2009-12-01,Dec,2009
358,2009 NOV,3883,2009-11-01,Nov,2009
357,2009 OCT,5760,2009-10-01,Oct,2009
356,2009 SEP,7299,2009-09-01,Sep,2009
355,2009 AUG,7731,2009-08-01,Aug,2009
354,2009 JUL,6320,2009-07-01,Jul,2009
353,2009 JUN,6155,2009-06-01,Jun,2009
352,2009 MAY,5464,2009-05-01,May,2009
351,2009 APR,5588,2009-04-01,Apr,2009
350,2009 MAR,4049,2009-03-01,Mar,2009
349,2009 FEB,3553,2009-02-01,Feb,2009
348,2009 JAN,4065,2009-01-01,Jan,2009
347,2008 DEC,3687,2008-12-01,Dec,2008
346,2008 NOV,4132,2008-11-01,Nov,2008
345,2008 OCT,5812,2008-10-01,Oct,2008
344,2008 SEP,7058,2008-09-01,Sep,2008
343,2008 AUG,8574,2008-08-01,Aug,2008
342,2008 JUL,6835,2008-07-01,Jul,2008
341,2008 JUN,6904,2008-06-01,Jun,2008
340,2008 MAY,5873,2008-05-01,May,2008
339,2008 APR,5771,2008-04-01,Apr,2008
338,2008 MAR,5085,2008-03-01,Mar,2008
337,2008 FEB,4553,2008-02-01,Feb,2008
336,2008 JAN,4724,2008-01-01,Jan,2008
335,2007 DEC,4158,2007-12-01,Dec,2007
334,2007 NOV,4234,2007-11-01,Nov,2007
333,2007 OCT,6586,2007-10-01,Oct,2007
332,2007 SEP,7517,2007-09-01,Sep,2007
331,2007 AUG,8656,2007-08-01,Aug,2007
330,2007 JUL,6827,2007-07-01,Jul,2007
329,2007 JUN,6659,2007-06-01,Jun,2007
328,2007 MAY,5450,2007-05-01,May,2007
327,2007 APR,5867,2007-04-01,Apr,2007
326,2007 MAR,4922,2007-03-01,Mar,2007
325,2007 FEB,4098,2007-02-01,Feb,2007
324,2007 JAN,4475,2007-01-01,Jan,2007
323,2006 DEC,4184,2006-12-01,Dec,2006
322,2006 NOV,4440,2006-11-01,Nov,2006
321,2006 OCT,6665,2006-10-01,Oct,2006
320,2006 SEP,7261,2006-09-01,Sep,2006
319,2006 AUG,8393,2006-08-01,Aug,2006
318,2006 JUL,6724,2006-07-01,Jul,2006
317,2006 JUN,6873,2006-06-01,Jun,2006
316,2006 MAY,5806,2006-05-01,May,2006
315,2006 APR,6059,2006-04-01,Apr,2006
314,2006 MAR,4594,2006-03-01,Mar,2006
313,2006 FEB,4092,2006-02-01,Feb,2006
312,2006 JAN,4444,2006-01-01,Jan,2006
311,2005 DEC,3686,2005-12-01,Dec,2005
310,2005 NOV,4284,2005-11-01,Nov,2005
309,2005 OCT,6467,2005-10-01,Oct,2005
308,2005 SEP,7160,2005-09-01,Sep,2005
307,2005 AUG,8113,2005-08-01,Aug,2005
306,2005 JUL,6494,2005-07-01,Jul,2005
305,2005 JUN,6578,2005-06-01,Jun,2005
304,2005 MAY,5394,2005-05-01,May,2005
303,2005 APR,5445,2005-04-01,Apr,2005
302,2005 MAR,4615,2005-03-01,Mar,2005
301,2005 FEB,3913,2005-02-01,Feb,2005
300,2005 JAN,4293,2005-01-01,Jan,2005
299,2004 DEC,3704,2004-12-01,Dec,2004
298,2004 NOV,4273,2004-11-01,Nov,2004
297,2004 OCT,6227,2004-10-01,Oct,2004
296,2004 SEP,6713,2004-09-01,Sep,2004
295,2004 AUG,8153,2004-08-01,Aug,2004
294,2004 JUL,6367,2004-07-01,Jul,2004
293,2004 JUN,6602,2004-06-01,Jun,2004
292,2004 MAY,5102,2004-05-01,May,2004
291,2004 APR,5263,2004-04-01,Apr,2004
290,2004 MAR,3982,2004-03-01,Mar,2004
289,2004 FEB,3950,2004-02-01,Feb,2004
288,2004 JAN,3838,2004-01-01,Jan,2004
287,2003 DEC,3467,2003-12-01,Dec,2003
286,2003 NOV,4050,2003-11-01,Nov,2003
285,2003 OCT,5678,2003-10-01,Oct,2003
284,2003 SEP,6288,2003-09-01,Sep,2003
283,2003 AUG,7871,2003-08-01,Aug,2003
282,2003 JUL,6240,2003-07-01,Jul,2003
281,2003 JUN,6040,2003-06-01,Jun,2003
280,2003 MAY,5377,2003-05-01,May,2003
279,2003 APR,4797,2003-04-01,Apr,2003
278,2003 MAR,4284,2003-03-01,Mar,2003
277,2003 FEB,3670,2003-02-01,Feb,2003
276,2003 JAN,3572,2003-01-01,Jan,2003
275,2002 DEC,3374,2002-12-01,Dec,2002
274,2002 NOV,3925,2002-11-01,Nov,2002
273,2002 OCT,5850,2002-10-01,Oct,2002
272,2002 SEP,6322,2002-09-01,Sep,2002
271,2002 AUG,7509,2002-08-01,Aug,2002
270,2002 JUL,5866,2002-07-01,Jul,2002
269,2002 JUN,6081,2002-06-01,Jun,2002
268,2002 MAY,4704,2002-05-01,May,2002
267,2002 APR,4857,2002-04-01,Apr,2002
266,2002 MAR,4135,2002-03-01,Mar,2002
265,2002 FEB,3518,2002-02-01,Feb,2002
264,2002 JAN,3357,2002-01-01,Jan,2002
263,2001 DEC,2935,2001-12-01,Dec,2001
262,2001 NOV,3918,2001-11-01,Nov,2001
261,2001 OCT,5272,2001-10-01,Oct,2001
260,2001 SEP,6198,2001-09-01,Sep,2001
259,2001 AUG,7472,2001-08-01,Aug,2001
258,2001 JUL,5982,2001-07-01,Jul,2001
257,2001 JUN,6077,2001-06-01,Jun,2001
256,2001 MAY,4590,2001-05-01,May,2001
255,2001 APR,4995,2001-04-01,Apr,2001
254,2001 MAR,3947,2001-03-01,Mar,2001
253,2001 FEB,3362,2001-02-01,Feb,2001
252,2001 JAN,3533,2001-01-01,Jan,2001
251,2000 DEC,3213,2000-12-01,Dec,2000
250,2000 NOV,3746,2000-11-01,Nov,2000
249,2000 OCT,5706,2000-10-01,Oct,2000
248,2000 SEP,6275,2000-09-01,Sep,2000
247,2000 AUG,7030,2000-08-01,Aug,2000
246,2000 JUL,5931,2000-07-01,Jul,2000
245,2000 JUN,5532,2000-06-01,Jun,2000
244,2000 MAY,4693,2000-05-01,May,2000
243,2000 APR,4569,2000-04-01,Apr,2000
242,2000 MAR,3782,2000-03-01,Mar,2000
241,2000 FEB,3341,2000-02-01,Feb,2000
240,2000 JAN,3019,2000-01-01,Jan,2000
239,1999 DEC,2801,1999-12-01,Dec,1999
238,1999 NOV,3465,1999-11-01,Nov,1999
237,1999 OCT,5424,1999-10-01,Oct,1999
236,1999 SEP,5822,1999-09-01,Sep,1999
235,1999 AUG,6526,1999-08-01,Aug,1999
234,1999 JUL,5391,1999-07-01,Jul,1999
233,1999 JUN,5726,1999-06-01,Jun,1999
232,1999 MAY,4605,1999-05-01,May,1999
231,1999 APR,4243,1999-04-01,Apr,1999
230,1999 MAR,3645,1999-03-01,Mar,1999
229,1999 FEB,3051,1999-02-01,Feb,1999
228,1999 JAN,3183,1999-01-01,Jan,1999
227,1998 DEC,2906,1998-12-01,Dec,1998
226,1998 NOV,3661,1998-11-01,Nov,1998
225,1998 OCT,4910,1998-10-01,Oct,1998
224,1998 SEP,5648,1998-09-01,Sep,1998
223,1998 AUG,6188,1998-08-01,Aug,1998
222,1998 JUL,5139,1998-07-01,Jul,1998
221,1998 JUN,4820,1998-06-01,Jun,1998
220,1998 MAY,4604,1998-05-01,May,1998
219,1998 APR,3818,1998-04-01,Apr,1998
218,1998 MAR,3327,1998-03-01,Mar,1998
217,1998 FEB,3035,1998-02-01,Feb,1998
216,1998 JAN,2817,1998-01-01,Jan,1998
215,1997 DEC,2719,1997-12-01,Dec,1997
214,1997 NOV,3459,1997-11-01,Nov,1997
213,1997 OCT,4556,1997-10-01,Oct,1997
212,1997 SEP,4865,1997-09-01,Sep,1997
211,1997 AUG,5736,1997-08-01,Aug,1997
210,1997 JUL,4580,1997-07-01,Jul,1997
209,1997 JUN,4619,1997-06-01,Jun,1997
208,1997 MAY,3910,1997-05-01,May,1997
207,1997 APR,3359,1997-04-01,Apr,1997
206,1997 MAR,3031,1997-03-01,Mar,1997
205,1997 FEB,2582,1997-02-01,Feb,1997
204,1997 JAN,2541,1997-01-01,Jan,1997
203,1996 DEC,2509,1996-12-01,Dec,1996
202,1996 NOV,2975,1996-11-01,Nov,1996
201,1996 OCT,4405,1996-10-01,Oct,1996
200,1996 SEP,4569,1996-09-01,Sep,1996
199,1996 AUG,5178,1996-08-01,Aug,1996
198,1996 JUL,4143,1996-07-01,Jul,1996
197,1996 JUN,4118,1996-06-01,Jun,1996
196,1996 MAY,3299,1996-05-01,May,1996
195,1996 APR,3325,1996-04-01,Apr,1996
194,1996 MAR,2965,1996-03-01,Mar,1996
193,1996 FEB,2314,1996-02-01,Feb,1996
192,1996 JAN,2253,1996-01-01,Jan,1996
191,1995 DEC,2362,1995-12-01,Dec,1995
190,1995 NOV,2536,1995-11-01,Nov,1995
189,1995 OCT,4242,1995-10-01,Oct,1995
188,1995 SEP,4616,1995-09-01,Sep,1995
187,1995 AUG,5055,1995-08-01,Aug,1995
186,1995 JUL,4356,1995-07-01,Jul,1995
185,1995 JUN,4148,1995-06-01,Jun,1995
184,1995 MAY,3486,1995-05-01,May,1995
183,1995 APR,3359,1995-04-01,Apr,1995
182,1995 MAR,2712,1995-03-01,Mar,1995
181,1995 FEB,2207,1995-02-01,Feb,1995
180,1995 JAN,2267,1995-01-01,Jan,1995
179,1994 DEC,2099,1994-12-01,Dec,1994
178,1994 NOV,2387,1994-11-01,Nov,1994
177,1994 OCT,4037,1994-10-01,Oct,1994
176,1994 SEP,4620,1994-09-01,Sep,1994
175,1994 AUG,5114,1994-08-01,Aug,1994
174,1994 JUL,4161,1994-07-01,Jul,1994
173,1994 JUN,4118,1994-06-01,Jun,1994
172,1994 MAY,3330,1994-05-01,May,1994
171,1994 APR,2993,1994-04-01,Apr,1994
170,1994 MAR,2618,1994-03-01,Mar,1994
169,1994 FEB,2117,1994-02-01,Feb,1994
168,1994 JAN,2036,1994-01-01,Jan,1994
167,1993 DEC,1767,1993-12-01,Dec,1993
166,1993 NOV,2240,1993-11-01,Nov,1993
165,1993 OCT,3793,1993-10-01,Oct,1993
164,1993 SEP,4216,1993-09-01,Sep,1993
163,1993 AUG,4826,1993-08-01,Aug,1993
162,1993 JUL,3845,1993-07-01,Jul,1993
161,1993 JUN,3692,1993-06-01,Jun,1993
160,1993 MAY,2968,1993-05-01,May,1993
159,1993 APR,2761,1993-04-01,Apr,1993
158,1993 MAR,2572,1993-03-01,Mar,1993
157,1993 FEB,1995,1993-02-01,Feb,1993
156,1993 JAN,2047,1993-01-01,Jan,1993
155,1992 DEC,1477,1992-12-01,Dec,1992
154,1992 NOV,2075,1992-11-01,Nov,1992
153,1992 OCT,3146,1992-10-01,Oct,1992
152,1992 SEP,3937,1992-09-01,Sep,1992
151,1992 AUG,4479,1992-08-01,Aug,1992
150,1992 JUL,3645,1992-07-01,Jul,1992
149,1992 JUN,3098,1992-06-01,Jun,1992
148,1992 MAY,2993,1992-05-01,May,1992
147,1992 APR,2912,1992-04-01,Apr,1992
146,1992 MAR,2391,1992-03-01,Mar,1992
145,1992 FEB,1800,1992-02-01,Feb,1992
144,1992 JAN,1879,1992-01-01,Jan,1992
143,1991 DEC,1386,1991-12-01,Dec,1991
142,1991 NOV,1929,1991-11-01,Nov,1991
141,1991 OCT,3072,1991-10-01,Oct,1991
140,1991 SEP,3734,1991-09-01,Sep,1991
139,1991 AUG,4301,1991-08-01,Aug,1991
138,1991 JUL,3323,1991-07-01,Jul,1991
137,1991 JUN,2896,1991-06-01,Jun,1991
136,1991 MAY,2317,1991-05-01,May,1991
135,1991 APR,2703,1991-04-01,Apr,1991
134,1991 MAR,2024,1991-03-01,Mar,1991
133,1991 FEB,1429,1991-02-01,Feb,1991
132,1991 JAN,1695,1991-01-01,Jan,1991
131,1990 DEC,1215,1990-12-01,Dec,1990
130,1990 NOV,1884,1990-11-01,Nov,1990
129,1990 OCT,3091,1990-10-01,Oct,1990
128,1990 SEP,3799,1990-09-01,Sep,1990
127,1990 AUG,4285,1990-08-01,Aug,1990
126,1990 JUL,3392,1990-07-01,Jul,1990
125,1990 JUN,3216,1990-06-01,Jun,1990
124,1990 MAY,2468,1990-05-01,May,1990
123,1990 APR,2535,1990-04-01,Apr,1990
122,1990 MAR,1925,1990-03-01,Mar,1990
121,1990 FEB,1532,1990-02-01,Feb,1990
